iter	RMSE
0	0.6709491574
1	0.6391058986
2	0.6121378072
3	0.5893072904
4	0.5701574323
5	0.5541752329
6	0.5408647515
7	0.5297812923
8	0.5206225332
9	0.5130639836
10	0.5068034807
11	0.5016644971
12	0.4973989763
13	0.4939152829
14	0.4910100597
15	0.4886572145
16	0.4866846728
17	0.4850804216
18	0.4837106197
19	0.4826157659
20	0.4817000384
21	0.4809253432
22	0.4802619356
23	0.4797378717
24	0.4792471713
25	0.4788617765
26	0.4785126469
27	0.4781819681
28	0.4779202873
29	0.4776984198
30	0.4774859
31	0.4772922062
32	0.4771439555
33	0.4769896882
34	0.4768565071
35	0.4767200844
36	0.4765487331
37	0.4764373581
38	0.4763246914
39	0.4762201351
40	0.4760912529
41	0.4760136479
42	0.4758967063
43	0.4757587215
44	0.4756623226
45	0.4755857839
46	0.4755164398
47	0.4754410084
48	0.4753634404
49	0.4752630369
50	0.4751682553
51	0.475052889
52	0.4749661691
53	0.4748902755
54	0.4748123662
55	0.4747415329
56	0.4746536553
57	0.4745743554
58	0.4745066293
59	0.4744370493
60	0.4743733782
61	0.4743058742
62	0.4742030516
63	0.474075585
64	0.4739949466
65	0.473907135
66	0.4738373214
67	0.4737631584
68	0.4736890669
69	0.4736147413
70	0.4735398507
71	0.4734461291
72	0.4733854693
73	0.4732987573
74	0.4732287735
75	0.4731265843
76	0.4730259353
77	0.472937293
78	0.4728440291
79	0.4727836885
80	0.4727093317
81	0.4726657636
82	0.4726053002
83	0.4725141342
84	0.4724354262
85	0.4723306946
86	0.4722754684
87	0.4722093617
88	0.4721406153
89	0.4720690193
90	0.4719949877
91	0.4719153514
92	0.4718723348
93	0.4717652105
94	0.4716873322
95	0.471600819
96	0.4715264686
97	0.4714798607
98	0.4714291825
99	0.4713554465
100	0.4712798513
101	0.4712301268
102	0.471140257
103	0.4710753775
104	0.4710130993
105	0.4709698793
106	0.4709155954
107	0.4708317969
108	0.4707524956
109	0.470680736
110	0.4706349957
111	0.4705908808
112	0.4705216971
113	0.4704344792
114	0.4703595798
115	0.4703183676
116	0.47027641
117	0.470195623
118	0.4701507077
119	0.4700902174
120	0.4700376522
121	0.4699905573
122	0.4699332048
123	0.469852337
124	0.4697888818
125	0.4697081298
126	0.4696464921
127	0.469574827
128	0.4695268898
129	0.4694280615
130	0.4693571269
131	0.4692678466
132	0.4692109569
133	0.469149447
134	0.4690905116
135	0.4690212585
136	0.4689674011
137	0.4689384012
138	0.4688973157
139	0.4688584405
140	0.4688018012
141	0.4687324542
142	0.4686908271
143	0.4686344573
144	0.4685680368
145	0.4685125808
146	0.4684428361
147	0.4683913446
148	0.4683201283
149	0.4682303033
