iter	Passed	Remaining
0	103	15451
1	138	10267
2	171	8401
3	208	7598
4	242	7045
5	275	6619
6	310	6343
7	348	6192
8	383	6005
9	414	5809
10	452	5714
11	494	5686
12	527	5562
13	562	5466
14	596	5369
15	631	5287
16	664	5200
17	697	5115
18	735	5071
19	767	4986
20	798	4904
21	835	4860
22	868	4795
23	901	4735
24	934	4671
25	966	4608
26	999	4554
27	1033	4502
28	1067	4452
29	1102	4409
30	1134	4356
31	1168	4307
32	1200	4257
33	1242	4239
34	1275	4191
35	1310	4148
36	1343	4103
37	1377	4060
38	1410	4014
39	1443	3969
40	1476	3925
41	1507	3877
42	1543	3841
43	1578	3802
44	1611	3760
45	1643	3715
46	1681	3684
47	1715	3644
48	1751	3610
49	1793	3586
50	1825	3544
51	1860	3506
52	1892	3463
53	1926	3424
54	1958	3383
55	1990	3342
56	2023	3301
57	2058	3264
58	2092	3226
59	2123	3185
60	2157	3147
61	2189	3107
62	2225	3073
63	2260	3037
64	2295	3001
65	2329	2964
66	2362	2927
67	2397	2890
68	2430	2853
69	2463	2814
70	2495	2777
71	2530	2741
72	2563	2703
73	2595	2665
74	2628	2628
75	2661	2591
76	2694	2554
77	2726	2516
78	2766	2485
79	2797	2448
80	2830	2411
81	2862	2373
82	2894	2336
83	2927	2300
84	2959	2263
85	2992	2227
86	3026	2191
87	3059	2155
88	3091	2118
89	3123	2082
90	3156	2046
91	3188	2010
92	3218	1972
93	3256	1940
94	3297	1909
95	3332	1874
96	3364	1838
97	3396	1802
98	3429	1766
99	3463	1731
100	3498	1697
101	3531	1661
102	3564	1626
103	3596	1590
104	3628	1555
105	3660	1519
106	3703	1488
107	3745	1456
108	3788	1424
109	3821	1389
110	3854	1354
111	3892	1320
112	3925	1285
113	3958	1250
114	3993	1215
115	4027	1180
116	4059	1145
117	4091	1109
118	4121	1073
119	4154	1038
120	4185	1003
121	4215	967
122	4250	933
123	4289	899
124	4323	864
125	4355	829
126	4387	794
127	4420	759
128	4451	724
129	4486	690
130	4519	655
131	4552	620
132	4584	585
133	4616	551
134	4648	516
135	4681	481
136	4715	447
137	4747	412
138	4783	378
139	4817	344
140	4847	309
141	4878	274
142	4908	240
143	4941	205
144	4978	171
145	5016	137
146	5051	103
147	5083	68
148	5116	34
149	5150	0
